publication_id,publication_name,publisher_name,channel_id,language,category,language_id,category_id,to_scrape
9224,Telugu Buzz,Telugu Buzz,UCTNh21Nuh-nY5XZxg8cf4-w,Telugu,cricket,5,18,FALSE
9225,Cricket In Bengali,Cricket In Bengali,UC-szLed3T930K9sk7RjTrFA,Bangla,cricket,7,18,FALSE
9227,Selfie Review,The Hindu Tamil,UCFwhrXOTW6wj-j5qUYWbbOQ,Tamil,entertainment,6,3,FALSE
9228,Cricket Poster,Cricket Poster,UCnPPkj5JtkEae-bWwz_dY3w,Telugu,cricket,5,18,FALSE
9231,Hindu Talkies,The Hindu Tamil,UCqdgpyEDft-GJ2ey_izis-g,Tamil,entertainment,6,3,FALSE
9232,Khel Tantra,Khel Tantra,UCVfgrMfvgDaBTsRXDfqVOcQ,Hindi,Football,2,32,FALSE
9233,Telugu Bhakthi - తెలుగు భక్తి,Telugu Sports News,UCkQfTeInzwRAYXoo9Nfz2Fw,Telugu,spiritual,5,20,FALSE
9234,Go Sport,Go Sport,UCAbtL_olLzW3QeQ-RAj73oA,Bangla,cricket,7,18,FALSE
9235,Astro Chinnaraj,Astro Chinnaraj,UC-E5mr-VPLe3bO725QjqGnw,Tamil,astrology,6,22,FALSE
9237,Lokmat CNX Filmy,Lokmat Group,UCC_aEK1jUpUPaa_N1aamvlA,Marathi,entertainment,4,3,FALSE
9240,Lokshahi News,Lokshahi,UC2ut_DrUZvO0BzUxZ_g9fXQ,Marathi,news,4,13,FALSE
9242,Tamil Cricket,Tamil Cricket,UCY6RnwdKKhZA0sIgY8P8bOQ,Tamil,cricket,6,18,FALSE
9243,Vroom Head Malayalam,Vroom Head,UCys-xgPPR3Aalyuc9x3rfDA,Malayalam,news,10,13,FALSE
9244,Samachar Today,Samachar Today,UC_xI1-TPo7cRINy-PVpcxVA,Hindi,news,2,13,FALSE
9245,Sach Bedhadak,Awaz Multimedia & Publications,UCkwt6azuNxaA78Oq-_RLOUA,Hindi,news,2,13,FALSE
9246,Sportskeeda India,Sportskeeda,UCHNbnZ5LE36rYv1sy6teodA,English,sports,1,12,FALSE
9248,DailyBuzz India,DailyBuzz India,UClTiIRDNHdL7m1NDwp4PPtA,Hindi,news,2,13,FALSE
9250,Cricketnmore,Cricketnmore,UCDu0qWEw2QDkiONnYWMlAsw,Hindi,cricket,2,18,FALSE
9251,ETV Bharat Hindi,ETV Bharat,UCsZgHPe9vlXgEHa6vf84cdQ,Hindi,news,2,13,FALSE
9252,ETV Bharat Marathi,ETV Bharat,UCFL_gd5px24Ab1gApZBzsRA,Marathi,news,4,13,FALSE
9253,ETV Bharat English,ETV Bharat,UCKVM5FMqX90AquMlhzNP82Q,English,news,1,13,FALSE
9254,ETV Bharat Bangla,ETV Bharat,UC8rWxR_4VKfFQt1ibfy71dg,Bangla,news,7,13,FALSE
9255,ETV Bharat Telugu,ETV Bharat,UCE-4Rs8rZ2VRSkfIOAbZuHA,Telugu,news,5,13,FALSE
9256,ETV Bharat Assamese ,ETV Bharat,UCZQEjq4cCTjQqnsWIEXOTgw,Assamese,news,13,13,FALSE
9257,ETV Bharat Gujarati,ETV Bharat,UCFBK786zh9DLkENvgMvJENQ,Gujarati,news,3,13,FALSE
9258,ETV Bharat Kannada,ETV Bharat,UCu7RKyniDK5i4aYuUhVTYJA,Kannada,news,9,13,FALSE
9259,ETV Bharat Odia,ETV Bharat,UC05bhr9jdCb6bhzp8O5zSmQ,Odia,news,11,13,FALSE
9260,ETV Bharat Punjabi,ETV Bharat,UCtkqTc3eBjJpE5HYgwRhn8Q,Punjabi,news,12,13,FALSE
9261,ETV Bharat Malayalam,ETV Bharat,UCCR3_uIjtdS7t0baO6b9mYg,Malayalam,news,10,13,FALSE
9262,ETV Bharat Tamil,ETV Bharat,UCQfHBgLUVbAHu-9O89kSjQw,Tamil,news,6,13,FALSE
9263,ETV Bharat Urdu,ETV Bharat,UCXE-a27-EBapw1foqm2CQnQ,Urdu,news,8,13,FALSE
9264,Dainik Maharashtra,Dainik Maharashtra,UCm3NLLFirqVZjAq1n7BxnJg,Marathi,news,4,13,FALSE
9265,Vindhya Times,Vindhya Times,UCIJcdnGxBEkes4btpsWcXqw,Hindi,news,2,13,FALSE
9268,BYJU'S IAS,Gradeup,UC1pfsmDBnMQB8sOuQvmTvRQ,English,Career,1,26,FALSE
9269,BYJU'S IAS Hindi,Gradeup,UCt-54gb391qjUwSFv24vyBw,Hindi,Career,2,26,FALSE
9270,BYJU'S GATE,Gradeup,UCCDB1Hwlr5Bk-zO4eEcWNTQ,English,Career,1,26,FALSE
9271,BYJU'S CAT,Gradeup,UCr3TboR7Q7seWiGw2OJj4jg,English,Career,1,26,FALSE
9272,BYJU'S CLAT,Gradeup,UCbONxIZkt9--7UPyYPYQYfA,English,Career,1,26,FALSE
9273,BYJU'S AE JE,Gradeup,UCtNSK_mgNLHSzNsrUpxP_Pg,English,Career,1,26,FALSE
