publisher_id,publisher_name,channel,channel_id,custom_url,language,category,language_id,category_id
9388,Prameya News,Prameya News7,UCaErUjJ2bJ7I7fYqrvwS3bw,@PrameyaNews7Odia,Odia,news,11,13
9389,Times Applaud,Times Applaud,UCEBefZHjKrPsawl69TiympQ,@TimesApplaud,Hindi,entertainment,2,3
9400,TheSootr,TheSootr,UCnOACbwmpn3_adWl_zU63YQ,@thesootr,Hindi,news,2,13
9401,FastFWD,FastFWD,UC9dfHbEGxDMe8Bl_dNyp0xQ,@fastfwdbynewsj,Hindi,automotive,2,10
9403,Latestly,Latestly,UC3Fci14HzLNhI9_stjLWV7g,@LatestLYIndia,Hindi,news,2,13
9404,Aajkaal,Aajkaal.in,UCkwTQGJelg1F-gV2ZmfPg8Q,@aajkaalinofficial,Bangla,news,7,13
9405,Bollywood Town,Bollywood Town,UCB07306JGVnGTaUU1XVUAhQ,@BollywoodTown,Hindi,entertainment,2,3
9406,Chai And Churan,Chai And Churan,UCGVjx89C-v-2SFPGiSmIMMQ,@chaiandchuran,Hindi,entertainment,2,3
9407,Kisan India,Kisan India,UCC0sKVb7btEKzlQ05pJcvTA,@kisanindia,Hindi,Agro,2,51
9408,News Nation,News Nation,UCsNdeLwEZf86swPD3qJJ7Dw,@NewsNationTV,Hindi,news,2,13
9409,Filmy Beyond,Filmy Beyond,UCoJ7kM4LhPhNHlpnN_mWFBA,@filmybeyond,Hindi,entertainment,2,3
9410,Jaipur Literature Festival,Jaipur Literature Festival,UCKTmQriO9OorGm-YfaRDNeg,@jprlitfest,English,entertainment,1,3
9411,GaneshaSpeaks,GaneshaSpeaks,UCp6_WveB73-Y0cvHcZXEVGA,@ganeshaspeakslive,Hindi,astrology,2,2
